date,ward,electorate,candidate,party,votes,percent
2014-05-22,Southmead,8255,Tony Orr,UKIP,633,24.97
2014-05-22,Southmead,8255,Jenny Smith,Labour,1121,44.22
2014-05-22,Southville,9705,Matthew Edward Carey,Trade Unionists and Socialists Against Cuts,76,1.9
2014-05-22,Southville,9705,Lena Clare Wright,Liberal Democrat,208,5.2
2014-05-22,Southville,9705,James Andrew Hale Stevenson,Conservative,289,7.23
2014-05-22,Southville,9705,Paul Anthony Turner,UKIP,402,10.06
2014-05-22,Southville,9705,Celia Christine Phipps,Labour,1322,33.07
2014-05-22,Southville,9705,Charlie Bolton,Green,1700,42.53
2014-05-22,St George West,8538,Tom Boyd,Trade Unionists and Socialists Against Cuts,93,3.21
2014-05-22,St George West,8538,Jane Marjory Westhead,Independents for Bristol,354,12.23
2014-05-22,St George West,8538,Tony Potter,Liberal Democrat,387,13.37
2014-05-22,St George West,8538,David Thomas Harrison Lewis,Conservative,425,14.69
2014-05-22,St George West,8538,Chloe Alice Somers,Green,494,17.07
2014-05-22,St George West,8538,Sue Milestone,Labour,1141,39.43
2014-05-22,Stockwood,8633,Philip John Bishop,Trade Unionists and Socialists Against Cuts,126,4.49
2014-05-22,Stockwood,8633,Robin Max McGhee,Liberal Democrat,150,5.35
2014-05-22,Stockwood,8633,Issica Carina Baron,Green,337,12.02
2014-05-22,Stockwood,8633,Kerry Barker,Labour,855,30.49
2014-05-22,Stockwood,8633,David Henry Robert Morris,Conservative,1336,47.65
2014-05-22,Stoke Bishop,8088,Michael Wright,Trade Unionists and Socialists Against Cuts,25,0.67
2014-05-22,Stoke Bishop,8088,Gerard Robinson,UKIP,230,6.2
2014-05-22,Stoke Bishop,8088,Mary Elizabeth Page,Liberal Democrat,330,8.9
2014-05-22,Stoke Bishop,8088,Christine Webb,Labour,468,12.62
2014-05-22,Stoke Bishop,8088,Kyla Darrell,Green,513,13.83
2014-05-22,Stoke Bishop,8088,John Goulandris,Conservative,2142,57.77
2014-05-22,Westbury-on-Trym,8198,Mike Luff,Trade Unionists and Socialists Against Cuts,24,0.6
2014-05-22,Westbury-on-Trym,8198,Alex Dunn,Green,427,10.76
2014-05-22,Westbury-on-Trym,8198,Ann Kathleen Michael,UKIP,442,11.14
2014-05-22,Westbury-on-Trym,8198,Graham Christopher Donald,Liberal Democrat,530,13.36
2014-05-22,Westbury-on-Trym,8198,Jonathan David Moore,Labour,568,14.31
2014-05-22,Westbury-on-Trym,8198,Alastair Peter Lindsay Watson,Conservative,1977,49.82
2014-05-22,Whitchurch Park,8190,Frankie Langeland,Trade Unionists and Socialists Against Cuts,18,0.69
2014-05-22,Whitchurch Park,8190,Barney Smith,Green,82,3.12
2014-05-22,Whitchurch Park,8190,Jenny Rogers,Conservative,210,8
2014-05-22,Whitchurch Park,8190,Alice Drummond Bouquet,Labour,612,23.31
2014-05-22,Whitchurch Park,8190,Christine Ann Forrester,UKIP,742,28.27
2014-05-22,Whitchurch Park,8190,Tim Kent,Liberal Democrat,961,36.61
2014-05-22,Windmill Hill,9449,Tom Baldwin,Trade Unionists and Socialists Against Cuts,94,2.46
2014-05-22,Windmill Hill,9449,Tony Lee,Conservative,247,6.47
2014-05-22,Windmill Hill,9449,Al Shute,UKIP,350,9.17
2014-05-22,Windmill Hill,9449,Pip Sheard,Green,920,24.1
2014-05-22,Windmill Hill,9449,Andrew Charles Brown,Liberal Democrat,1100,28.81
2014-05-22,Windmill Hill,9449,Sam Mongon,Labour,1107,28.99
