E06000028,Bournemouth,E12000009,E92000001
E06000029,Poole,E12000009,E92000001
E06000030,Swindon,E12000009,E92000001
E06000031,Peterborough,E12000006,E92000001
E06000032,Luton,E12000006,E92000001
E06000033,Southend-on-Sea,E12000006,E92000001
E06000034,Thurrock,E12000006,E92000001
E06000035,Medway,E12000008,E92000001
E06000036,"Bracknell Forest",E12000008,E92000001
E06000037,"West Berkshire",E12000008,E92000001
E06000038,Reading,E12000008,E92000001
E06000039,Slough,E12000008,E92000001
E06000040,"Windsor and Maidenhead",E12000008,E92000001
E06000041,Wokingham,E12000008,E92000001
E06000042,"Milton Keynes",E12000008,E92000001
E06000043,"Brighton and Hove",E12000008,E92000001
E06000044,Portsmouth,E12000008,E92000001
E06000045,Southampton,E12000008,E92000001
E10000002,Buckinghamshire,E12000008,E92000001
E10000003,Cambridgeshire,E12000006,E92000001
E10000006,Cumbria,E12000002,E92000001
E10000007,Derbyshire,E12000004,E92000001
E10000008,Devon,E12000009,E92000001
E10000009,Dorset,E12000009,E92000001
E10000011,"East Sussex",E12000008,E92000001
E10000012,Essex,E12000006,E92000001
E10000013,Gloucestershire,E12000009,E92000001
E10000014,Hampshire,E12000008,E92000001
E10000015,Hertfordshire,E12000006,E92000001
E10000016,Kent,E12000008,E92000001
E10000017,Lancashire,E12000002,E92000001
E10000018,Leicestershire,E12000004,E92000001
E10000019,Lincolnshire,E12000004,E92000001
E10000020,Norfolk,E12000006,E92000001
E10000021,Northamptonshire,E12000004,E92000001
E10000023,"North Yorkshire",E12000003,E92000001
E10000024,Nottinghamshire,E12000004,E92000001
E10000025,Oxfordshire,E12000008,E92000001
E10000027,Somerset,E12000009,E92000001
E10000028,Staffordshire,E12000005,E92000001
E10000029,Suffolk,E12000006,E92000001
E10000030,Surrey,E12000008,E92000001
E10000031,Warwickshire,E12000005,E92000001
E10000032,"West Sussex",E12000008,E92000001
E10000034,Worcestershire,E12000005,E92000001
E06000047,"County Durham",E12000001,E92000001
E06000048,Northumberland,E12000001,E92000001
E06000051,Shropshire,E12000005,E92000001
E06000052,Cornwall,E12000009,E92000001
E06000053,"Isles of Scilly",E12000009,E92000001
E06000054,Wiltshire,E12000009,E92000001
E06000046,"Isle of Wight",E12000008,E92000001
E06000049,"Cheshire East",E12000002,E92000001
E06000050,"Cheshire West and Chester",E12000002,E92000001
E06000021,Stoke-on-Trent,E12000005,E92000001
E06000055,Bedford,E12000006,E92000001
E06000056,"Central Bedfordshire",E12000006,E92000001
